"tm_code","tm_formal_name","ntp_code","ntp_formal_name","mp_code","mp_formal_name"
8000097,"indapamide",9000587,"indapamide 1.25 mg oral tablet","02240349","PHL-INDAPAMIDE (indapamide 1.25 mg oral tablet) PHARMEL INC"
8000097,"indapamide",9000177,"indapamide 2.5 mg oral tablet","02240350","PHL-INDAPAMIDE (indapamide 2.5 mg oral tablet) PHARMEL INC"
8000225,"fenofibrate",9000841,"fenofibrate 200 mg oral capsule","02240360","FENO-MICRO-200 (fenofibrate 200 mg oral capsule) PRO DOC LIMITEE"
8000127,"fentanyl",9000321,"fentanyl (fentanyl citrate) 100 mcg per 2 mL solution for injection ampoule","700069","FENTANYL CITRATE INJECTION USP (fentanyl (fentanyl citrate) 100 mcg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED"
8000127,"fentanyl",9000885,"fentanyl (fentanyl citrate) 250 mcg per 5 mL solution for injection vial","700070","FENTANYL CITRATE INJECTION USP (fentanyl (fentanyl citrate) 250 mcg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED"
8000127,"fentanyl",9000324,"fentanyl (fentanyl citrate) 500 mcg per 10 mL solution for injection vial","700071","FENTANYL CITRATE INJECTION USP (fentanyl (fentanyl citrate) 500 mcg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED"
8000127,"fentanyl",9000320,"fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection vial","700072","FENTANYL CITRATE INJECTION USP (fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection vial) SANDOZ CANADA INCORPORATED"
8000127,"fentanyl",9000884,"fentanyl (fentanyl citrate) 2500 mcg per 50 mL solution for injection vial","700073","FENTANYL CITRATE INJECTION USP (fentanyl (fentanyl citrate) 2500 mcg per 50 mL solution for injection vial) SANDOZ CANADA INCORPORATED"
8000171,"sertraline",9000445,"sertraline (sertraline hydrochloride) 100 mg oral capsule","02240481","TEVA-SERTRALINE (sertraline (sertraline hydrochloride) 100 mg oral capsule) TEVA CANADA LIMITED"
8000171,"sertraline",9000446,"sertraline (sertraline hydrochloride) 50 mg oral capsule","02240484","TEVA-SERTRALINE (sertraline (sertraline hydrochloride) 50 mg oral capsule) TEVA CANADA LIMITED"
8000171,"sertraline",9000635,"sertraline (sertraline hydrochloride) 25 mg oral capsule","02240485","TEVA-SERTRALINE (sertraline (sertraline hydrochloride) 25 mg oral capsule) TEVA CANADA LIMITED"
8000276,"rizatriptan",9000897,"rizatriptan (rizatriptan benzoate) 5 mg orodispersible tablet","02240518","MAXALT RPD (rizatriptan (rizatriptan benzoate) 5 mg orodispersible tablet) MERCK CANADA INC"
8000276,"rizatriptan",9000865,"rizatriptan (rizatriptan benzoate) 10 mg orodispersible tablet","02240519","MAXALT RPD (rizatriptan (rizatriptan benzoate) 10 mg orodispersible tablet) MERCK CANADA INC"
8000276,"rizatriptan",9000864,"rizatriptan (rizatriptan benzoate) 10 mg oral tablet","02240521","MAXALT (rizatriptan (rizatriptan benzoate) 10 mg oral tablet) MERCK CANADA INC"
8000219,"oxybutynin",9000876,"oxybutynin chloride 2.5 mg oral tablet","02240549","PMS-OXYBUTYNIN (oxybutynin chloride 2.5 mg oral tablet) PHARMASCIENCE INC"
8000219,"oxybutynin",9000627,"oxybutynin chloride 5 mg oral tablet","02240550","PMS-OXYBUTYNIN (oxybutynin chloride 5 mg oral tablet) PHARMASCIENCE INC"
8000187,"risperidone",9000871,"risperidone 0.25 mg oral tablet","02240551","RISPERDAL (risperidone 0.25 mg oral tablet) JANSSEN INC"
8000187,"risperidone",9000872,"risperidone 0.5 mg oral tablet","02240552","RISPERDAL (risperidone 0.5 mg oral tablet) JANSSEN INC"
8000163,"doxazosin",9000418,"doxazosin (doxazosin mesylate) 1 mg oral tablet","02240588","APO-DOXAZOSIN (doxazosin (doxazosin mesylate) 1 mg oral tablet) APOTEX INC"
8000163,"doxazosin",9000419,"doxazosin (doxazosin mesylate) 2 mg oral tablet","02240589","APO-DOXAZOSIN (doxazosin (doxazosin mesylate) 2 mg oral tablet) APOTEX INC"
8000163,"doxazosin",9000420,"doxazosin (doxazosin mesylate) 4 mg oral tablet","02240590","APO-DOXAZOSIN (doxazosin (doxazosin mesylate) 4 mg oral tablet) APOTEX INC"
8000269,"amiodarone",9000840,"amiodarone hydrochloride 200 mg oral tablet","02240604","MYLAN-AMIODARONE (amiodarone hydrochloride 200 mg oral tablet) MYLAN PHARMACEUTICALS ULC"
8000143,"zopiclone",9000370,"zopiclone 7.5 mg oral tablet","02240606","PMS-ZOPICLONE (zopiclone 7.5 mg oral tablet) PHARMASCIENCE INC"
8000028,"dexamethasone (base)",9000648,"dexamethasone 0.5 mg oral tablet","02240684","RATIO-DEXAMETHASONE (dexamethasone 0.5 mg oral tablet) TEVA CANADA LIMITED"
8000028,"dexamethasone (base)",9000651,"dexamethasone 4 mg oral tablet","02240687","RATIO-DEXAMETHASONE (dexamethasone 4 mg oral tablet) TEVA CANADA LIMITED"
8000277,"telmisartan",9000866,"telmisartan 40 mg oral tablet","02240769","MICARDIS 40MG TAB (telmisartan 40 mg oral tablet) BOEHRINGER INGELHEIM (CANADA) LTD LTEE"
8000277,"telmisartan",9000867,"telmisartan 80 mg oral tablet","02240770","MICARDIS 80MG TAB (telmisartan 80 mg oral tablet) BOEHRINGER INGELHEIM (CANADA) LTD LTEE"
8000188,"terbinafine",9000495,"terbinafine (terbinafine hydrochloride) 250 mg oral tablet","02240807","PMS-TERBINAFINE (terbinafine (terbinafine hydrochloride) 250 mg oral tablet) PHARMASCIENCE INC"
8000188,"terbinafine",9000495,"terbinafine (terbinafine hydrochloride) 250 mg oral tablet","02294273","PMS-TERBINAFINE (terbinafine (terbinafine hydrochloride) 250 mg oral tablet) PHARMASCIENCE INC"
8000143,"zopiclone",9000370,"zopiclone 7.5 mg oral tablet","02240823","DOM-ZOPICLONE (zopiclone 7.5 mg oral tablet) DOMINION PHARMACAL"
8000279,"fluticasone and salmeterol",9006268,"fluticasone propionate 100 mcg per actuation and salmeterol (salmeterol xinafoate) 50 mcg per actuation inhalation powder","02240835","ADVAIR 100 DISKUS (fluticasone propionate 100 mcg per actuation and salmeterol (salmeterol xinafoate) 50 mcg per actuation inhalation powder) GLAXOSMITHKLINE INC"
8000279,"fluticasone and salmeterol",9006269,"fluticasone propionate 250 mcg per actuation and salmeterol (salmeterol xinafoate) 50 mcg per actuation inhalation powder","02240836","ADVAIR 250 DISKUS (fluticasone propionate 250 mcg per actuation and salmeterol (salmeterol xinafoate) 50 mcg per actuation inhalation powder) GLAXOSMITHKLINE INC"
8000279,"fluticasone and salmeterol",9006270,"fluticasone propionate 500 mcg per actuation and salmeterol (salmeterol xinafoate) 50 mcg per actuation inhalation powder","02240837","ADVAIR 500 DISKUS (fluticasone propionate 500 mcg per actuation and salmeterol (salmeterol xinafoate) 50 mcg per actuation inhalation powder) GLAXOSMITHKLINE INC"
8000185,"paroxetine",9000697,"paroxetine (paroxetine hydrochloride) 10 mg oral tablet","02240907","APO-PAROXETINE (paroxetine (paroxetine hydrochloride) 10 mg oral tablet) APOTEX INC"
8000185,"paroxetine",9000487,"paroxetine (paroxetine hydrochloride) 20 mg oral tablet","02240908","APO-PAROXETINE (paroxetine (paroxetine hydrochloride) 20 mg oral tablet) APOTEX INC"
