drug_code,mp_code,mp_formal_name,mp_fr_description,changes
97799,02487837,ZDS-LACOSAMIDE (lacosamide 200 mg oral tablet) ZYDUS PHARMACEUTICALS (CANADA) INC,ZDS-LACOSAMIDE (lacosamide 200 mg comprimé oral) ZYDUS PHARMACEUTICALS (CANADA) INC,"mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20251016"" -> ""20191004"""
97838,02488280,COMBOGESIC (acetaminophen 325 mg and ibuprofen 97.5 mg oral tablet) AFT PHARMACEUTICALS (CAN) LIMITED,"COMBOGESIC (acétaminophène 325 mg et ibuprofène 97,5 mg comprimé oral) AFT PHARMACEUTICALS (CAN) LIMITED","mp_formal_name: ""COMBOGESIC (acetaminophen 325 mg and ibuprofen 97.5 mg oral tablet) B̲I̲O̲S̲Y̲E̲N̲T̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲"" -> ""COMBOGESIC (acetaminophen 325 mg and ibuprofen 97.5 mg oral tablet) A̲F̲T̲ ̲P̲H̲A̲R̲M̲A̲C̲E̲U̲T̲I̲C̲A̲L̲S̲ ̲(̲C̲A̲N̲)̲ ̲L̲I̲M̲I̲T̲E̲D̲""
mp_fr_description: ""COMBOGESIC (acétaminophène 325 mg et ibuprofène 97,5 mg comprimé oral) B̲I̲O̲S̲Y̲E̲N̲T̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲"" -> ""COMBOGESIC (acétaminophène 325 mg et ibuprofène 97,5 mg comprimé oral) A̲F̲T̲ ̲P̲H̲A̲R̲M̲A̲C̲E̲U̲T̲I̲C̲A̲L̲S̲ ̲(̲C̲A̲N̲)̲ ̲L̲I̲M̲I̲T̲E̲D̲"""
98130,02491281,METHOTREXATE SUBCUTANEOUS (methotrexate (methotrexate sodium) 10 mg per 0.2 mL solution for injection syringe) ACCORD HEALTHCARE INC,"METHOTREXATE SUBCUTANEOUS (méthotrexate (méthotrexate sodique) 10 mg par 0,2 mL solution injectable seringue) ACCORD HEALTHCARE INC",ADDED
98131,02491303,METHOTREXATE SUBCUTANEOUS (methotrexate (methotrexate sodium) 12.5 mg per 0.25 mL solution for injection syringe) ACCORD HEALTHCARE INC,"METHOTREXATE SUBCUTANEOUS (méthotrexate (méthotrexate sodique) 12,5 mg par 0,25 mL solution injectable seringue) ACCORD HEALTHCARE INC",ADDED
98459,02494590,DAPTOMYCIN FOR INJECTION (daptomycin 500 mg per vial powder for solution for injection) ACCORD HEALTHCARE INC,DAPTOMYCIN FOR INJECTION (daptomycine 500 mg par fiole poudre pour solution injectable) ACCORD HEALTHCARE INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""20201029"" -> ""20251028"""
98527,02495341,ACH-DIMETHYL FUMARATE (dimethyl fumarate 120 mg gastro-resistant capsule) ACCORD HEALTHCARE INC,ACH-DIMETHYL FUMARATE (fumarate de diméthyle 120 mg capsule gastrorésistante) ACCORD HEALTHCARE INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""20211006"" -> ""20251028"""
98528,02495368,ACH-DIMETHYL FUMARATE (dimethyl fumarate 240 mg gastro-resistant capsule) ACCORD HEALTHCARE INC,ACH-DIMETHYL FUMARATE (fumarate de diméthyle 240 mg capsule gastrorésistante) ACCORD HEALTHCARE INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""20211006"" -> ""20251028"""
98955,02499827,TUKYSA (tucatinib 50 mg oral tablet) PFIZER CANADA ULC,TUKYSA (tucatinib 50 mg comprimé oral) PFIZER CANADA ULC,"mp_formal_name: ""TUKYSA (tucatinib 50 mg oral tablet) S̲E̲A̲G̲E̲N̲ ̲I̲N̲C̲.̲"" -> ""TUKYSA (tucatinib 50 mg oral tablet) P̲F̲I̲Z̲E̲R̲ ̲C̲A̲N̲A̲D̲A̲ ̲U̲L̲C̲""
mp_fr_description: ""TUKYSA (tucatinib 50 mg comprimé oral) S̲E̲A̲G̲E̲N̲ ̲I̲N̲C̲.̲"" -> ""TUKYSA (tucatinib 50 mg comprimé oral) P̲F̲I̲Z̲E̲R̲ ̲C̲A̲N̲A̲D̲A̲ ̲U̲L̲C̲"""
98956,02499835,TUKYSA (tucatinib 150 mg oral tablet) PFIZER CANADA ULC,TUKYSA (tucatinib 150 mg comprimé oral) PFIZER CANADA ULC,"mp_formal_name: ""TUKYSA (tucatinib 150 mg oral tablet) S̲E̲A̲G̲E̲N̲ ̲I̲N̲C̲.̲"" -> ""TUKYSA (tucatinib 150 mg oral tablet) P̲F̲I̲Z̲E̲R̲ ̲C̲A̲N̲A̲D̲A̲ ̲U̲L̲C̲""
mp_fr_description: ""TUKYSA (tucatinib 150 mg comprimé oral) S̲E̲A̲G̲E̲N̲ ̲I̲N̲C̲.̲"" -> ""TUKYSA (tucatinib 150 mg comprimé oral) P̲F̲I̲Z̲E̲R̲ ̲C̲A̲N̲A̲D̲A̲ ̲U̲L̲C̲"""
98998,02500280,KYNMOBI (apomorphine hydrochloride 20 mg sublingual film) SUNOVION PHARMACEUTICALS CANADA INC,KYNMOBI (chlorhydrate d'apomorphine 20 mg film sublingual) SUNOVION PHARMACEUTICALS CANADA INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""20201117"" -> ""20230929"""
98999,02500299,KYNMOBI (apomorphine hydrochloride 25 mg sublingual film) SUNOVION PHARMACEUTICALS CANADA INC,KYNMOBI (chlorhydrate d'apomorphine 25 mg film sublingual) SUNOVION PHARMACEUTICALS CANADA INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""20201117"" -> ""20230929"""
99000,02500302,KYNMOBI (apomorphine hydrochloride 30 mg sublingual film) SUNOVION PHARMACEUTICALS CANADA INC,KYNMOBI (chlorhydrate d'apomorphine 30 mg film sublingual) SUNOVION PHARMACEUTICALS CANADA INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""20201117"" -> ""20230929"""
99127,02501651,APO-QUETIAPINE FUMARATE (quetiapine (quetiapine fumarate) 200 mg oral tablet) APOTEX INC,APO-QUETIAPINE FUMARATE (quétiapine (fumarate de quétiapine) 200 mg comprimé oral) APOTEX INC,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""20210728"" -> ""20251025"""
99757,02508184,ANTI-DANDRUFF ANTIPELLICULAIRE 2 IN 1 (pyrithione zinc 1 % shampoo) L' OREAL CANADA,ANTI-DANDRUFF ANTIPELLICULAIRE 2 IN 1 (pyrithione zincique 1 % shampoing) L' OREAL CANADA,"mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""20230201"" -> ""20240426"""
100221,02512963,BRUKINSA (zanubrutinib 80 mg oral capsule) BEONE MEDICINES I GMBH,BRUKINSA (zanubrutinib 80 mg capsule orale) BEONE MEDICINES I GMBH,"mp_formal_name: ""BRUKINSA (zanubrutinib 80 mg oral capsule) BEI̲G̲E̲N̲E̲ ̲S̲W̲I̲T̲Z̲E̲R̲L̲A̲N̲D̲ GMBH"" -> ""BRUKINSA (zanubrutinib 80 mg oral capsule) BEO̲N̲E̲ ̲M̲E̲D̲I̲C̲I̲N̲E̲S̲ ̲I̲ GMBH""
mp_fr_description: ""BRUKINSA (zanubrutinib 80 mg capsule orale) BEI̲G̲E̲N̲E̲ ̲S̲W̲I̲T̲Z̲E̲R̲L̲A̲N̲D̲ GMBH"" -> ""BRUKINSA (zanubrutinib 80 mg capsule orale) BEO̲N̲E̲ ̲M̲E̲D̲I̲C̲I̲N̲E̲S̲ ̲I̲ GMBH"""
100625,02516918,RETEVMO (selpercatinib 40 mg oral capsule) ELI LILLY CANADA INC,RETEVMO (selpercatinib 40 mg capsule orale) ELI LILLY CANADA INC,"mp_formal_name: ""RETEVMO (selpercatinib 40 mg oral capsule) L̲O̲X̲O̲ ̲O̲N̲C̲O̲L̲O̲G̲Y̲ INC"" -> ""RETEVMO (selpercatinib 40 mg oral capsule) E̲L̲I̲ ̲L̲I̲L̲L̲Y̲ ̲C̲A̲N̲A̲D̲A̲ INC""
mp_fr_description: ""RETEVMO (selpercatinib 40 mg capsule orale) L̲O̲X̲O̲ ̲O̲N̲C̲O̲L̲O̲G̲Y̲ INC"" -> ""RETEVMO (selpercatinib 40 mg capsule orale) E̲L̲I̲ ̲L̲I̲L̲L̲Y̲ ̲C̲A̲N̲A̲D̲A̲ INC"""
100626,02516926,RETEVMO (selpercatinib 80 mg oral capsule) ELI LILLY CANADA INC,RETEVMO (selpercatinib 80 mg capsule orale) ELI LILLY CANADA INC,"mp_formal_name: ""RETEVMO (selpercatinib 80 mg oral capsule) L̲O̲X̲O̲ ̲O̲N̲C̲O̲L̲O̲G̲Y̲ INC"" -> ""RETEVMO (selpercatinib 80 mg oral capsule) E̲L̲I̲ ̲L̲I̲L̲L̲Y̲ ̲C̲A̲N̲A̲D̲A̲ INC""
mp_fr_description: ""RETEVMO (selpercatinib 80 mg capsule orale) L̲O̲X̲O̲ ̲O̲N̲C̲O̲L̲O̲G̲Y̲ INC"" -> ""RETEVMO (selpercatinib 80 mg capsule orale) E̲L̲I̲ ̲L̲I̲L̲L̲Y̲ ̲C̲A̲N̲A̲D̲A̲ INC"""
103073,02542137,ORGOVYX (relugolix 120 mg oral tablet) KNIGHT THERAPEUTICS INC.,ORGOVYX (rélugolix 120 mg comprimé oral) KNIGHT THERAPEUTICS INC.,"mp_formal_name: ""ORGOVYX (relugolix 120 mg oral tablet) S̲U̲M̲I̲T̲O̲M̲O̲ ̲P̲H̲A̲R̲M̲A̲ ̲S̲W̲I̲T̲Z̲E̲R̲L̲A̲N̲D̲ ̲G̲M̲B̲H̲"" -> ""ORGOVYX (relugolix 120 mg oral tablet) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲.̲""
mp_fr_description: ""ORGOVYX (rélugolix 120 mg comprimé oral) S̲U̲M̲I̲T̲O̲M̲O̲ ̲P̲H̲A̲R̲M̲A̲ ̲S̲W̲I̲T̲Z̲E̲R̲L̲A̲N̲D̲ ̲G̲M̲B̲H̲"" -> ""ORGOVYX (rélugolix 120 mg comprimé oral) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲.̲"""
103975,02550997,"BISACODYL TABLETS, 5 MG (bisacodyl 5 mg oral tablet) TIME-CAP LABORATORIES, INC","BISACODYL TABLETS, 5 MG (bisacodyl 5 mg comprimé oral) TIME-CAP LABORATORIES, INC",ADDED
104212,02553163,JAMP ARIPIPRAZOLE (aripiprazole 2 mg oral tablet) JAMP PHARMA CORPORATION,JAMP ARIPIPRAZOLE (aripiprazole 2 mg comprimé oral) JAMP PHARMA CORPORATION,ADDED
104213,02553171,JAMP ARIPIPRAZOLE (aripiprazole 5 mg oral tablet) JAMP PHARMA CORPORATION,JAMP ARIPIPRAZOLE (aripiprazole 5 mg comprimé oral) JAMP PHARMA CORPORATION,ADDED
104214,02553198,JAMP ARIPIPRAZOLE (aripiprazole 10 mg oral tablet) JAMP PHARMA CORPORATION,JAMP ARIPIPRAZOLE (aripiprazole 10 mg comprimé oral) JAMP PHARMA CORPORATION,ADDED
104215,02553201,JAMP ARIPIPRAZOLE (aripiprazole 15 mg oral tablet) JAMP PHARMA CORPORATION,JAMP ARIPIPRAZOLE (aripiprazole 15 mg comprimé oral) JAMP PHARMA CORPORATION,ADDED
104216,02553228,JAMP ARIPIPRAZOLE (aripiprazole 20 mg oral tablet) JAMP PHARMA CORPORATION,JAMP ARIPIPRAZOLE (aripiprazole 20 mg comprimé oral) JAMP PHARMA CORPORATION,ADDED
104217,02553236,JAMP ARIPIPRAZOLE (aripiprazole 30 mg oral tablet) JAMP PHARMA CORPORATION,JAMP ARIPIPRAZOLE (aripiprazole 30 mg comprimé oral) JAMP PHARMA CORPORATION,ADDED
104313,02554267,BRUKINSA (zanubrutinib 160 mg oral tablet) BEONE MEDICINES I GMBH,BRUKINSA (zanubrutinib 160 mg comprimé oral) BEONE MEDICINES I GMBH,"mp_formal_name: ""BRUKINSA (zanubrutinib 160 mg oral tablet) BEI̲G̲E̲N̲E̲ ̲S̲W̲I̲T̲Z̲E̲R̲L̲A̲N̲D̲ GMBH"" -> ""BRUKINSA (zanubrutinib 160 mg oral tablet) BEO̲N̲E̲ ̲M̲E̲D̲I̲C̲I̲N̲E̲S̲ ̲I̲ GMBH""
mp_fr_description: ""BRUKINSA (zanubrutinib 160 mg comprimé oral) BEI̲G̲E̲N̲E̲ ̲S̲W̲I̲T̲Z̲E̲R̲L̲A̲N̲D̲ GMBH"" -> ""BRUKINSA (zanubrutinib 160 mg comprimé oral) BEO̲N̲E̲ ̲M̲E̲D̲I̲C̲I̲N̲E̲S̲ ̲I̲ GMBH"""
104492,02558262,PIASKY (crovalimab 340 mg per 2 mL solution for injection vial) HOFFMANN-LA ROCHE LIMITED,PIASKY (crovalimab 340 mg par 2 mL solution injectable fiole) HOFFMANN-LA ROCHE LIMITED,ADDED
106161,02558351,VANFLYTA (quizartinib (quizartinib hydrochloride) 17.7 mg oral tablet) DAIICHI SANKYO PHARMA CANADA LIMITED,"VANFLYTA (quizartinib (chlorhydrate de quizartinib) 17,7 mg comprimé oral) DAIICHI SANKYO PHARMA CANADA LIMITED",ADDED
106220,02559005,PRUCALOPRIDE (prucalopride (prucalopride succinate) 1 mg oral tablet) SANIS HEALTH INC,PRUCALOPRIDE (prucalopride (succinate de prucalopride) 1 mg comprimé oral) SANIS HEALTH INC,ADDED
