drug_code,drug_identification_number,current_brand_name,previous_brand_name
"14050","02026384","SPASCUPREEL INJEEL LIQ","SPASCUPREEL INJEEL  LIQ"
"14497","02007851","HENRY SCHEIN SURFACE DISINFECTANT LIQ.","HENRY SCHEIN SURFACE DISINFECTANT  LIQ."
"14555","02026279","UDDER WASH LIQ","UDDER WASH  LIQ"
"14633","02048760","ASMAVENT RESPIRATOR SOLUTION INH 5MG/ML","ASMAVENT RESPIRATOR SOLUTION  INH 5MG/ML"
"15727","02014173","MS IR SUP 30MG","MS IR SUP  30MG"
"15872","02049066","ANTI-PERSPIRANT  ANTI SUDORIFIQUE","ANTI-PERSPIRANT   ANTI SUDORIFIQUE"
"15885","00895601","KOFFEX DM + DECONGESTANT SYRUP","KOFFEX DM + DECONGESTANT  SYRUP"
"16227","02091127","MICRO PLUS 6  (CONCENTRATE)","MICRO PLUS 6    (CONCENTRATE)"
"16454","02085984","CONTAC COUGH COLD AND FLU CAPLETS","CONTAC COUGH  COLD AND FLU CAPLETS"
"16632","02023717","DIOPHENYL-T SOLUTION","DIOPHENYL-T  SOLUTION"
"17103","02091925","CEPHULAC SYR 667MG/ML","CEPHULAC  SYR 667MG/ML"
"17400","02095157","CARBACHOL INJECTION LIQ SC 0.25MG/ML","CARBACHOL INJECTION  LIQ SC 0.25MG/ML"
"17882","02017393","COUGH SYRUP E 100MG/5ML","COUGH SYRUP E  100MG/5ML"
"18070","02139189","NOVO-CHOLAMINE - PWR 4G/DOSE","NOVO-CHOLAMINE - PWR  4G/DOSE"
"18101","02011336","STRESS B & C CAPLET","STRESS B & C  CAPLET"
"18196","02158116","ACID CONCENTRATE D12268","ACID CONCENTRATE  D12268"
"18203","02158213","ACID CONCENTRATE D12261","ACID CONCENTRATE  D12261"
"18220","02144638","CLEAN N MOIST - ASP-LIQ 1.5%","CLEAN  N MOIST - ASP-LIQ 1.5%"
"18309","02160994","CALCIUM-36.8 0.5-4.5","CALCIUM-36.8  0.5-4.5"
"18354","02008963","VITAMIN C 500 MG TAB","VITAMIN C 500 MG  TAB"
"18557","02146827","MS CONTIN SUPPOSITORIES - 30MG","MS CONTIN SUPPOSITORIES -  30MG"
"18711","01983458","MULTI FORTE 29 - TABLET","MULTI FORTE 29  -  TABLET"
"18978","02167328","VITAMINE B1 100 MG - TABLET","VITAMINE B1  100 MG  -  TABLET"
"18982","02167379","VITAMINE C 500 MG USP - TABLET","VITAMINE C  500 MG USP  -  TABLET"
"19155","02178060","SUPER FORTE COMPLETE - TABLET","SUPER FORTE COMPLETE  -  TABLET"
"19235","02172429","TRIAMINIC DM - SYRUP - 15 MG/5 ML","TRIAMINIC DM  -  SYRUP - 15 MG/5 ML"
"19280","02175126","ONLY ONE - TABLET","ONLY ONE  -  TABLET"
"19308","02047500","NOLVADENT LIQ 1.025MG/ML","NOLVADENT LIQ  1.025MG/ML"
"19322","02026953","CARBOCAINE LIQ 2%","CARBOCAINE  LIQ 2%"
"19339","02150816","PMS-KETOPROFEN E-50 - ECT 50MG","PMS-KETOPROFEN E-50  - ECT 50MG"
"19444","02167700","SUMA BAC - LIQUID","SUMA BAC  -  LIQUID"
"20152","02156083","NOVO-KETO SUPPOSITORIES 100MG","NOVO-KETO  SUPPOSITORIES 100MG"
"20342","02188929","MED CAPTOPRIL - TAB 12.5MG","MED CAPTOPRIL - TAB  12.5MG"
"27326","02053349","GRAND MASTER FORMULA TAB","GRAND MASTER FORMULA  TAB"
"33950","02155168","VITAMIN C 1000 MG - TABLET","VITAMIN C 1000 MG  -  TABLET"
"34140","02159252","MULTI SPECTRUM - TABLET","MULTI SPECTRUM  -  TABLET"
"34318","02164248","VITAMIN B-6 50 MG TABLET","VITAMIN B-6  50 MG TABLET"
"34474","02168081","H.W. 50 FORMULA TIME RELEASE - TABLET","H.W. 50 FORMULA TIME RELEASE  -  TABLET"
"34476","02168111","TIME RELEASE B 100 COMPOUND - TABLET","TIME RELEASE B 100 COMPOUND  -  TABLET"
"34480","02168162","FOLIC ACID 1 MG - TABLET","FOLIC ACID 1 MG  -  TABLET"
"34522","02169142","CHEWABLE WAFERS VITAMIN C 500 MG - TABLET","CHEWABLE WAFERS VITAMIN C 500 MG  -  TABLET"
"34567","02170078","MYAMBUTOL TABLETS - 400 MG","MYAMBUTOL TABLETS  -  400 MG"
"34616","02171538","SPORT RUB - CREAM","SPORT RUB  -  CREAM"
"34691","02173719","RENODORON - TABLET","RENODORON  -  TABLET"
"34702","02173832","C-M COMP - DROPS","C-M COMP  -  DROPS"
"34732","02174154","SOLUTIO SI COMP - DROPS","SOLUTIO SI COMP  -  DROPS"
"34733","02174162","LPCC COMP - DROPS","LPCC COMP  -  DROPS"
"34790","02175398","GENCYDO D6 (D9,11,13) - LIQUID (AMPOULES)","GENCYDO D6 (D9,11,13)  -  LIQUID (AMPOULES)"
"34792","02175428","EQUISETUM ARVENSE D6 SULPHUR D4 - LIQUID","EQUISETUM ARVENSE D6 SULPHUR D4  -  LIQUID"
"34857","02176998","OSTEO FACTORS - TABLET","OSTEO FACTORS  -  TABLET"
"36205","02200414","FORMULA A.L.- TAB 17MG","FORMULA A.L.- TAB  17MG"
"36895","02212587","COMPLETE ONE-A-DAY - TAB","COMPLETE ONE-A-DAY  -  TAB"
"36925","02212927","GENTAMICIN SULPHATE 0.3% - LIQ OPH","GENTAMICIN SULPHATE 0.3%  - LIQ OPH"
"37041","02215292","MILK OF MAGNESIA U.S.P. - SUS 400MG","MILK OF MAGNESIA U.S.P.  -  SUS  400MG"
"37043","02215314","DIMETAPP COUGH & COLD LIQUI-GELS - CAP","DIMETAPP COUGH & COLD LIQUI-GELS  -  CAP"
"37057","02215489","CHROMATONE - TAB 100MCG","CHROMATONE  -  TAB 100MCG"
"37489","02226979","ANU-AIDE - ONT TOP 0.5%","ANU-AIDE -  ONT TOP  0.5%"
"37623","02169398","LP400 DISINFECTANT - CLEANER - LIQUID","LP400 DISINFECTANT - CLEANER  -  LIQUID"
"37820","02210959","BETCO 256 - LIQ HOM HOS","BETCO 256 - LIQ  HOM HOS"
"37853","02215578","SPECIAL CLEARING BOOSTER - LIQ 5%","SPECIAL CLEARING BOOSTER - LIQ  5%"
"37859","02217929","SIMICORT - CRM 1.8%","SIMICORT - CRM  1.8%"
"42436","01999540","CLEARASIL SENSITIVE CLEARSTICK-FRAG. FREE","CLEARASIL SENSITIVE  CLEARSTICK-FRAG. FREE"
"42537","02161249","HONEY-LEMON COUGH LOZENGES - 8.4MG","HONEY-LEMON COUGH LOZENGES  - 8.4MG"
"428","00194891","NEO-CORTEF 0.5% OINTMENT","NEO-CORTEF 0.5%  OINTMENT"
"42896","02188724","NORINYL 1/50  -(21-DAY REGIMEN)","NORINYL 1/50   -(21-DAY REGIMEN)"
"42897","02188732","NORINYL 1/50  -(28-DAY REGIMEN)","NORINYL 1/50   -(28-DAY REGIMEN)"
"43067","02213370","NITRO-DUR 0.3 - 60MG/15 SQ CM, 0.3MG/HR","NITRO-DUR 0.3  -  60MG/15 SQ CM, 0.3MG/HR"
"43130","02213710","BECLODISK - PWR INH 100MCG/BLISTER","BECLODISK -  PWR INH  100MCG/BLISTER"
"43133","02215020","CEPTAZ INJECTION - PWS IV 2GM/VIAL","CEPTAZ INJECTION -  PWS IV  2GM/VIAL"
"43135","02215039","BECLOVENT ROTACAPS - INH 100MCG/CAPSULE","BECLOVENT ROTACAPS  -  INH 100MCG/CAPSULE"
"43136","02215047","BECLOVENT ROTACAPS - INH 200MCG/CAP","BECLOVENT ROTACAPS  -  INH 200MCG/CAP"
"43152","02215144","MONOCLATE-P - 200-350IU/VIAL","MONOCLATE-P  -  200-350IU/VIAL"
"43154","02215160","MONOCLATE-P - 800-1500IU/VIAL","MONOCLATE-P  -  800-1500IU/VIAL"
"43173","02216183","NUTROPIN - KIT PWS(5MG) & LIQ(10ML) IM SC","NUTROPIN - KIT  PWS(5MG) & LIQ(10ML) IM SC"
"43174","02216191","NUTROPIN - KIT PWS(10MG) & LIQ(10ML) IM SC","NUTROPIN - KIT  PWS(10MG) & LIQ(10ML) IM SC"
"43289","02220601","CLONAZEPAM-2 - TAB 2MG","CLONAZEPAM-2  -  TAB 2MG"
"43291","02220636","OXYBUTYNINE-5 - TAB 5MG","OXYBUTYNINE-5  -  TAB 5MG"
"47341","02229455","PMS-TEMAZEPAM - 15MG","PMS-TEMAZEPAM  - 15MG"
"47516","02229593","PENTA-DILTIAZEM - 30MG","PENTA-DILTIAZEM  - 30MG"
"47751","02229686","RIGHT CHOICE P.M. MULTI FORMULA - CAPLET","RIGHT CHOICE P.M. MULTI FORMULA  - CAPLET"
"48124","02229799","NOVO-BENZYDAMINE - ORAL RINSE","NOVO-BENZYDAMINE  -  ORAL RINSE"
"48230","02229872","NATURAL FRUIT CHEW C 250MG TANGY ORANGE FLAVOUR","NATURAL FRUIT CHEW  C 250MG TANGY ORANGE FLAVOUR"
"49054","02230297","OXYTOCIN INJECTION - IM IV 20 UNITS/ML","OXYTOCIN INJECTION - IM IV  20 UNITS/ML"
"49070","02230309","GEMZAR (1GM/VIAL)","GEMZAR  (1GM/VIAL)"
"50057","02230788","CHILDREN'S FEVERHALT  (80MG CHEWABLE TABLETS)","CHILDREN'S FEVERHALT   (80MG CHEWABLE TABLETS)"
"50302","02231020","BENEFIX -(1000IU)","BENEFIX  -(1000IU)"
"51216","02231784","NU-SALBUTAMOL PLASTIC AMPULES 2 MG/ML","NU-SALBUTAMOL PLASTIC AMPULES  2 MG/ML"
"51382","02231930","BIOTIN 300MCG","BIOTIN  300MCG"
"52112","02232614","OXL COMP. DROPS","OXL COMP.  DROPS"
"60447","02237132","PHL-CHOLESTYRAMINE LIGHT    - 210G TIN","PHL-CHOLESTYRAMINE LIGHT        - 210G TIN"
"6057","00629693","PHENYLTROPE OPH SOLN","PHENYLTROPE  OPH SOLN"
"63841","02240303","ATRACURIUM - (FOR MULTIPLE DOSE VIAL - WITH PRESERVATIVE)","ATRACURIUM  -  (FOR MULTIPLE DOSE VIAL - WITH PRESERVATIVE)"
"64087","02240517","BIOCURE: SHAMPOOING ANTIPELLICULAIRE","BIOCURE:  SHAMPOOING ANTIPELLICULAIRE"
"65672","02242002","DEMEROL 50 MG/ML  (MULTIPLE DOSE WITH METACRESOL AS PRESERVATIVE)","DEMEROL 50 MG/ML   (MULTIPLE DOSE WITH METACRESOL AS PRESERVATIVE)"
"65673","02242003","DEMEROL 50 MG/ML  (SINGLE USE, PRESERVATIVE FREE)","DEMEROL 50 MG/ML   (SINGLE USE, PRESERVATIVE FREE)"
"6608","00665657","ACID CONCENTRATE D12092","ACID CONCENTRATE  D12092"
"6609","00665665","ACID CONCENTRATE D12093","ACID CONCENTRATE  D12093"
"67429","02243511","CARBAMAZEPINE-CR  -(200MG)","CARBAMAZEPINE-CR   -(200MG)"
"67430","02243512","CARBAMAZEPINE-CR  -(400MG)","CARBAMAZEPINE-CR   -(400MG)"
"67892","02243949","PUREGON (600 IU)","PUREGON  (600 IU)"
"68128","02244166","APO-FLUPHENAZINE INJECTABLE","APO-FLUPHENAZINE  INJECTABLE"
"68266","02244299","REMINYL  -(8MG)","REMINYL   -(8MG)"
"68267","02244300","REMINYL  -(12MG)","REMINYL   -(12MG)"
"6836","00665681","ACID CONCENTRATE D12095","ACID CONCENTRATE  D12095"
"70521","02246355","ARANESP    -(HSA-FREE)","ARANESP        -(HSA-FREE)"
"70524","02246358","ARANESP    -(HSA-FREE)","ARANESP        -(HSA-FREE)"
"70526","02246360","ARANESP    -(HSA-FREE)","ARANESP        -(HSA-FREE)"
"7375","00732656","ACID CONCENTRATE D12028","ACID CONCENTRATE  D12028"
"74858","02263173","OCTREOTIDE ACETATE INJECTION  - 100MCG/ML","OCTREOTIDE ACETATE INJECTION   - 100MCG/ML"
"74859","02263181","OCTREOTIDE ACETATE INJECTION  - 200MCG/ML","OCTREOTIDE ACETATE INJECTION   - 200MCG/ML"
"74860","02263203","OCTREOTIDE ACETATE INJECTION  - 500MCG/ML","OCTREOTIDE ACETATE INJECTION   - 500MCG/ML"
"75091","02265443","NOVOMIX 30    (FLEXPEN)","NOVOMIX 30       (FLEXPEN)"
"75354","02268159","VIVE MEN   -(ANTI-DANDRUFF)","VIVE MEN     -(ANTI-DANDRUFF)"
"75987","02274426","ONDANSETRON INJECTION USP   -(PRESERVATIVE FREE)","ONDANSETRON INJECTION USP     -(PRESERVATIVE FREE)"
"75988","02274434","ONDANSETRON INJECTION USP   -(WITH PRESERVATIVES)","ONDANSETRON INJECTION USP     -(WITH PRESERVATIVES)"
"77554","02290251","VITA LIFT  (SPF 15)","VITA LIFT   (SPF 15)"
"78756","02302225","KOGENATE FS   -(WITH BIO-SET)","KOGENATE FS     -(WITH BIO-SET)"
"80553","02320061","PREVIFEM  (21DAY)","PREVIFEM   (21DAY)"
"80554","02320088","PREVIFEM  (28DAY)","PREVIFEM   (28DAY)"
"82824","02342758","KOGENATE FS   -(WITH BIO-SET)","KOGENATE FS     -(WITH BIO-SET)"
"9182","00792780","ACID CONCENTRATE D12132","ACID CONCENTRATE  D12132"
"25828","02006316","PMS-COCAINE HYDROCHLORIDE TOPICAL SOL 4%","PMS-COCAINE HYDROCHLORIDE  TOPICAL SOL 4%"
"26397","02023113","HOT LEMON RELIEF PCK-PWS","HOT LEMON RELIEF  PCK-PWS"
"48901","02230203","PMS-CAPTOPRIL - TAB 12.5MG","PMS-CAPTOPRIL - TAB  12.5MG"
"48902","02230204","PMS-CAPTOPRIL - TAB 25MG","PMS-CAPTOPRIL - TAB  25MG"
"75730","02271761","ONDANSETRON OMEGA  -(PRESERVATIVE FREE - SINGLE DOSE VIALS)","ONDANSETRON OMEGA   -(PRESERVATIVE FREE - SINGLE DOSE VIALS)"
"78842","02303094","HEPARIN SODIUM INJECTION USP     (SINGLE USE VIAL-PRESERVATIVE FREE)","HEPARIN SODIUM INJECTION USP         (SINGLE USE VIAL-PRESERVATIVE FREE)"
"74861","02263211","CIPRALEX  -5MG","CIPRALEX    -5MG"
"74863","02263246","CIPRALEX  -15MG","CIPRALEX   -15MG"
"75018","02264692","ENTERIC COATED A.S.A    (CAPLET)","ENTERIC COATED A.S.A       (CAPLET)"
"79273","02307057","PMS-IBUPROFEN      (CAPLETS)","PMS-IBUPROFEN           (CAPLETS)"
"80401","02318520","PENDO-IBUPROFEN   (200MG CAPLET)","PENDO-IBUPROFEN     (200MG CAPLET)"
"101113","02521962","PYRITHIONE ZINC DANDRUFF SHAMPOO HYDRATING COCONUT ","PYRITHIONE ZINC DANDRUFF SHAMPOO COCONUT"
"102048","02531348","PYRITHIONE ZINC DANDRUFF CONDITIONER SULFATE FREE SHEA BUTTER","PYRITHIONE ZINC DANDRUFF CONDITIONER SHEA BUTTER"
"10772","00870978","PRO-DICLOFENAC","DICLOFENAC-50"
"11847","01928791","KOFFEX DM (SUCROSE FREE)","KOFFEX DM  (SUCROSE FREE)"
"12788","01928775","BALMINIL DM (3MG/ML SUCROSE FREE)","BALMINIL DM  (3MG/ML SUCROSE FREE)"
"16226","02091100","MICRO PLUS 6  (PEDIATRIC)","MICRO PLUS 6   (PEDIATRIC)"
"18321","02160986","CALCIUM-45 0.5-4.5","CALCIUM-45  0.5-4.5"
"20308","02152584","PRO-BACLOFEN","BACLOFEN-10"
"35700","02193221","THIAMIJECT INJECTION - LIQ IM IV 100MG/ML","THIAMIJECT INJECTION  - LIQ IM IV 100MG/ML"
"37819","02210940","AF79 CONCENTRATE - LIQ HOM HOS","AF79 CONCENTRATE - LIQ  HOM HOS"
"43292","02220644","PRO-CYCLOBENZAPRINE","CYCLOBENZAPRINE - 10"
"47872","02229705","HUMALOG (CARTRIDGE)","HUMALOG  (CARTRIDGE)"
"74862","02263238","CIPRALEX  -10MG","CIPRALEX   -10MG"
"74864","02263254","CIPRALEX  -20MG","CIPRALEX   -20MG"
"87502","02389517","SPC-MONTELUKAST","TARO-MONTELUKAST"
"9176","00782467","APO-NADOLOL","LISSA CLEAN DISINFECTING WIPES"
"10855","00890170","MAGNESIUM-35 0.5 - 4.5","MAGNESIUM-35  0.5 - 4.5"
"14200","02019345","GENI-SEP LIQ","GENI-SEP  LIQ"
"14263","02024306","NOVOLIN GE 20/80 PENFILL INJ SUS","NOVOLIN GE 20/80 PENFILL  INJ SUS"
"14341","02008912","VITAMINS A, C & E CAP.","VITAMINS A, C & E  CAP."
"14342","02008947","STRESS B COMPLEX WITH C AND E TAB","STRESS B COMPLEX WITH C AND E  TAB"
"15519","01949241","BETA C AND E TAB","BETA  C AND E TAB"
"15537","02048558","BETA-CE CAP","BETA-CE  CAP"
"16045","02015013","VITAMIN B12 50MCG TAB","VITAMIN B12  50MCG TAB"
"16046","02015021","VITAMIN B6 50MG TAB","VITAMIN B6  50MG TAB"
"16234","02023768","DIOPRED SUSPENSION 1%","DIOPRED SUSPENSION  1%"
"16285","02009439","MULTI-FORCE FOR ADULTS TAB","MULTI-FORCE FOR ADULTS  TAB"
"17124","02099179","CORTIMENT-10 SUP 10MG","CORTIMENT-10  SUP 10MG"
"18077","02137992","DEMEROL 50MG - LIQ IM SC  50MG/ML","DEMEROL  50MG - LIQ IM SC    50MG/ML"
"18079","02139022","DEMEROL 50MG - LIQ IM IV SC 50MG/ML","DEMEROL  50MG  - LIQ IM IV SC 50MG/ML"
"18266","02158272","ACID CONCENTRATE D12250","ACID CONCENTRATE  D12250"
"18269","02158302","ACID CONCENTRATE D12247","ACID CONCENTRATE  D12247"
"18305","02161028","POTASSIUM-36.8 0.5-4.5 (CODE:K-30) - POWDER","POTASSIUM-36.8  0.5-4.5 (CODE:K-30) - POWDER"
"18312","02161052","MAGNESIUM-36.8 0.25-4.5","MAGNESIUM-36.8  0.25-4.5"
"18313","02161001","CALCIUM-36.8 0.25-4.5","CALCIUM-36.8  0.25-4.5"
"18320","02161036","MAGNESIUM-36.8 0.5-4.5","MAGNESIUM-36.8  0.5-4.5"
"18342","02144131","RHO-DOXEPIN - CAP 25MG","RHO-DOXEPIN  - CAP 25MG"
"18487","02158604","NOVO-MAPROTILINE - TAB 10MG","NOVO-MAPROTILINE  - TAB 10MG"
"18514","02170205","MICROCIDE - LIQUID - 5.0%","MICROCIDE  -  LIQUID - 5.0%"
"18570","02083663","ORNADE SPANSULE SRC","ORNADE SPANSULE  SRC"
"18822","02172208","L.39 COMP. - TABLET","L.39 COMP.  -  TABLET"
"18867","02168472","AQUASEPT - LIQUID - 0.5%","AQUASEPT  -  LIQUID - 0.5%"
"18887","02125625","CALCIUM MG AND ZN CAPSULES WITH VITAMIN D","CALCIUM  MG AND ZN CAPSULES WITH VITAMIN D"
"18979","02167336","VITAMINE B6 100 MG - TABLET","VITAMINE B6  100 MG  -  TABLET"
"18980","02167344","VITAMINE B12 25 MCG - TABLET","VITAMINE B12  25 MCG  -  TABLET"
"18981","02167360","VITAMINE C 250 MG USP - TABLET","VITAMINE C  250 MG USP  -  TABLET"
"19038","02161540","PERMATHENE-12 - CAPLET","PERMATHENE-12  -  CAPLET"
"19154","02165139","MULTIPLE VITAMINS - TABLET","MULTIPLE VITAMINS  -  TABLET"
"19156","02168065","SENIOR FORMULA - TABLET","SENIOR FORMULA  -  TABLET"
"19194","02161133","ANTISEPTIC HAND SOAP - LIQUID 1%","ANTISEPTIC HAND SOAP  -  LIQUID  1%"
"19259","02065630","IDAMYCIN POWDER -5MG/VIAL","IDAMYCIN POWDER  -5MG/VIAL"
"19296","02151545","ALCO-GEL - TOP 60%","ALCO-GEL  - TOP 60%"
"19813","02063751","TAMONE - (20 MG)","TAMONE  -  (20 MG)"
"19818","02063778","TAMONE - (10 MG)","TAMONE  -  (10 MG)"
"20314","02091119","MICRO PLUS 6  (REGULAR)","MICRO PLUS 6   (REGULAR)"
"33952","02155184","VITAMIN B-12 500 MCG - TABLETS","VITAMIN B-12 500 MCG  -  TABLETS"
"34095","02157942","VITALIFE - CAPSULE","VITALIFE  -  CAPSULE"
"34148","02159511","ALLERGY SINUS MEDICATION - CAPLET","ALLERGY SINUS MEDICATION  -  CAPLET"
"34149","02159538","JUNIOR STRENGTH COLD DM - TABLET","JUNIOR STRENGTH COLD DM  -  TABLET"
"34248","02163160","VITAMIN E 400 IU - CAPSULE","VITAMIN E 400 IU  -  CAPSULE"
"34270","02163195","HAMAMELIS-AESCULUS-COMPOSTIUM - SUPPOSITORY","HAMAMELIS-AESCULUS-COMPOSTIUM  - SUPPOSITORY"
"34361","02165783","VASCARD - CAPSULE","VASCARD  -  CAPSULE"
"34452","02167476","CALCIUM ASCORBATE 1000 MG - TABLET","CALCIUM ASCORBATE 1000 MG  -  TABLET"
"34478","02168146","BIOTIN 300 MCG - TABLET","BIOTIN 300 MCG  -  TABLET"
"34573","02170132","LOXAPAC TABLETS - 25 MG","LOXAPAC TABLETS  -  25 MG"
"34615","02171511","SPORT COLD - GEL - 2%","SPORT COLD  -  GEL - 2%"
"34658","02173026","VITAMIN C 1000 MG TIMED RELEASE - TABLET","VITAMIN C 1000 MG TIMED RELEASE  -  TABLET"
"34713","02173956","SYM COMP. - DROPS","SYM COMP.  -  DROPS"
"34739","02174227","SCI-COMP - DROPS","SCI-COMP  -  DROPS"
"34804","02175533","PANCREATIN AND ENZYME FORMULA - TABLET","PANCREATIN AND ENZYME FORMULA  -  TABLET"
"34886","02178893","EPI E-Z PEN - LIQUID - 0.3MG/0.3ML","EPI E-Z PEN  -  LIQUID - 0.3MG/0.3ML"
"34944","02179539","FLUORETS - STP OPH 1MG","FLUORETS  - STP OPH 1MG"
"36762","02209446","OXYTOCIN INJECTION USP - IM,IV,SC 20IU/ML","OXYTOCIN INJECTION USP - IM,IV,SC  20IU/ML"
"36896","02212595","AMBER MOUTH WASH - LIQ","AMBER MOUTH WASH  -  LIQ"
"36903","02212676","IRON WITH VITAMINS C AND E - TAB","IRON WITH VITAMINS C AND E  -  TAB"
"36920","02212870","GIN PAIN PILLS - TAB","GIN PAIN PILLS  -  TAB"
"37042","02215306","DAYQUIL LIQUICAPS - CAP","DAYQUIL LIQUICAPS  -  CAP"
"37084","02216051","BION TEARS - LIQ OPH","BION TEARS  -  LIQ OPH"
"37130","02217821","PRO-SONE LOTION - 0.05%","PRO-SONE LOTION -  0.05%"
"37605","02165236","HI-SEPT CONCENTRATED CLEANER - LIQUID","HI-SEPT CONCENTRATED CLEANER  -  LIQUID"
"37663","02175924","WHITE PEARL - LOTION - 0.4%","WHITE PEARL  -  LOTION - 0.4%"
"42598","02163039","AVEENO CLEANSING BAR - DRY SKIN - 38%","AVEENO CLEANSING BAR - DRY SKIN  - 38%"
"42627","02165600","CREME HIVER - CREME","CREME HIVER  -  CREME"
"429","00194913","NEO-CORTEF 1% OINTMENT","NEO-CORTEF 1%  OINTMENT"
"43046","02210487","KETOPROFEN-SR - SRT 200MG","KETOPROFEN-SR - SRT  200MG"
"43070","02213389","IBUPROFEN - TAB 200MG","IBUPROFEN  -  TAB 200MG"
"43126","02213672","FLONASE - AEM-SUS NAS 50MCG/MD","FLONASE - AEM-SUS NAS  50MCG/MD"
"43132","02215012","CEPTAZ INJECTION - PWS IM IV 1G/VIAL","CEPTAZ INJECTION  - PWS IM IV 1G/VIAL"
"43151","02215136","SAIZEN 10IU - KIT","SAIZEN 10IU  -  KIT"
"43153","02215152","MONOCLATE-P - 400-700IU/VIAL","MONOCLATE-P  -  400-700IU/VIAL"
"43183","02216531","BECLOVENT - AEM 50MCG/AEM","BECLOVENT  -  AEM 50MCG/AEM"
"43288","02220598","CLONAZEPAM-0.5 - TAB 0.5MG","CLONAZEPAM-0.5  -  TAB 0.5MG"
"43290","02220628","METFORMIN-500 - TAB 500MG","METFORMIN-500  -  TAB 500MG"
"49068","02230308","GEMZAR (200MG/VIAL)","GEMZAR  (200MG/VIAL)"
"50083","02155052","SOOTHING FOOT SPRAY - LIQUID","SOOTHING FOOT SPRAY  -  LIQUID"
