drug_code,mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
104461,02555883,"MYTOLAC (lanréotide (acétate de lanréotide) 120 mg par 0,5 mL solution injectable à libération prolongée seringue) ADVANZ PHARMA CANADA INC.","lanréotide (acétate de lanréotide) 120 mg par 0,5 mL solution injectable à libération prolongée seringue",lanréotide,ADDED
104466,02555948,REBYOTA (microbiota fécal 5e10 cfu par mL suspension rectale 150 mL sac) FERRING INC,microbiota fécal 5e10 cfu par mL suspension rectale 150 mL sac,microbiota fécal,ADDED
104472,02555999,NB-CITALOPRAM (citalopram (bromhydrate de citalopram) 10 mg comprimé oral) NB PHARMA INC.,citalopram (bromhydrate de citalopram) 10 mg comprimé oral,citalopram,ADDED
104473,02556006,NB-CITALOPRAM (citalopram (bromhydrate de citalopram) 20 mg comprimé oral) NB PHARMA INC.,citalopram (bromhydrate de citalopram) 20 mg comprimé oral,citalopram,ADDED
104488,02556189,JAMP SITAGLIPTIN HYDROCHLORIDE / METFORMIN (chlorhydrate de metformine 500 mg et sitagliptine (chlorhydrate de sitagliptine monohydraté) 50 mg comprimé oral) JAMP PHARMA CORPORATION,chlorhydrate de metformine 500 mg et sitagliptine (chlorhydrate de sitagliptine) 50 mg comprimé oral,metformine et sitagliptine,ADDED
104489,02556197,JAMP SITAGLIPTIN HYDROCHLORIDE / METFORMIN (chlorhydrate de metformine 850 mg et sitagliptine (chlorhydrate de sitagliptine monohydraté) 50 mg comprimé oral) JAMP PHARMA CORPORATION,chlorhydrate de metformine 850 mg et sitagliptine (chlorhydrate de sitagliptine) 50 mg comprimé oral,metformine et sitagliptine,ADDED
104490,02556200,JAMP SITAGLIPTIN HYDROCHLORIDE / METFORMIN (chlorhydrate de metformine 1000 mg et sitagliptine (chlorhydrate de sitagliptine monohydraté) 50 mg comprimé oral) JAMP PHARMA CORPORATION,chlorhydrate de metformine 1000 mg et sitagliptine (chlorhydrate de sitagliptine) 50 mg comprimé oral,metformine et sitagliptine,ADDED
104494,02556235,NB-SERTRALINE (sertraline (chlorhydrate de sertraline) 25 mg capsule orale) NB PHARMA INC.,sertraline (chlorhydrate de sertraline) 25 mg capsule orale,sertraline,ADDED
104495,02556243,NB-SERTRALINE (sertraline (chlorhydrate de sertraline) 50 mg capsule orale) NB PHARMA INC.,sertraline (chlorhydrate de sertraline) 50 mg capsule orale,sertraline,ADDED
104496,02556251,NB-SERTRALINE (sertraline (chlorhydrate de sertraline) 100 mg capsule orale) NB PHARMA INC.,sertraline (chlorhydrate de sertraline) 100 mg capsule orale,sertraline,ADDED
106082,02557509,"ZEPBOUND KWIKPEN (tirzépatide 2,5 mg par actionnement solution injectable stylo prérempli) ELI LILLY CANADA INC","tirzépatide 2,5 mg par actionnement solution injectable stylo prérempli",tirzépatide,ADDED
106083,02557517,ZEPBOUND KWIKPEN (tirzépatide 5 mg par actionnement solution injectable stylo prérempli) ELI LILLY CANADA INC,tirzépatide 5 mg par actionnement solution injectable stylo prérempli,tirzépatide,ADDED
106084,02557525,"ZEPBOUND KWIKPEN (tirzépatide 7,5 mg par actionnement solution injectable stylo prérempli) ELI LILLY CANADA INC","tirzépatide 7,5 mg par actionnement solution injectable stylo prérempli",tirzépatide,ADDED
106085,02557533,ZEPBOUND KWIKPEN (tirzépatide 10 mg par actionnement solution injectable stylo prérempli) ELI LILLY CANADA INC,tirzépatide 10 mg par actionnement solution injectable stylo prérempli,tirzépatide,ADDED
106086,02557541,"ZEPBOUND KWIKPEN (tirzépatide 12,5 mg par actionnement solution injectable stylo prérempli) ELI LILLY CANADA INC","tirzépatide 12,5 mg par actionnement solution injectable stylo prérempli",tirzépatide,ADDED
106087,02557568,ZEPBOUND KWIKPEN (tirzépatide 15 mg par actionnement solution injectable stylo prérempli) ELI LILLY CANADA INC,tirzépatide 15 mg par actionnement solution injectable stylo prérempli,tirzépatide,ADDED
NA,77700636,CLOPIXOL ACUPHASE  (acétate de zuclopenthixol 50 mg par 1 mL solution injectable ampoule) LUNDBECK CANADA INC,acétate de zuclopenthixol 50 mg par 1 mL solution injectable ampoule,zuclopenthixol,"mp_fr_description: ""CLOPIXOL-̲ACUPHASE 5̲0̲M̲G̲/̲M̲L̲ (acétate de zuclopenthixol 50 mg par 1 mL solution injectable ampoule) LUNDBECK CANADA INC"" -> ""CLOPIXOL ̲ACUPHASE  (acétate de zuclopenthixol 50 mg par 1 mL solution injectable ampoule) LUNDBECK CANADA INC"""
NA,77700637,CLOPIXOL ACUPHASE  (acétate de zuclopenthixol 100 mg par 2 mL solution injectable ampoule) LUNDBECK CANADA INC,acétate de zuclopenthixol 100 mg par 2 mL solution injectable ampoule,zuclopenthixol,"mp_fr_description: ""CLOPIXOL-̲ACUPHASE 5̲0̲M̲G̲/̲M̲L̲ (acétate de zuclopenthixol 100 mg par 2 mL solution injectable ampoule) LUNDBECK CANADA INC"" -> ""CLOPIXOL ̲ACUPHASE  (acétate de zuclopenthixol 100 mg par 2 mL solution injectable ampoule) LUNDBECK CANADA INC"""
NA,77700638,CLOPIXOL DEPOT (décanoate de zuclopenthixol 200 mg par mL solution injectable 10 mL fiole) LUNDBECK CANADA INC,décanoate de zuclopenthixol 200 mg par mL solution injectable 10 mL fiole,zuclopenthixol,"mp_fr_description: ""CLOPIXOL DEPOT ̲2̲0̲0̲M̲G̲/̲M̲L̲ (décanoate de zuclopenthixol 200 mg par mL solution injectable 10 mL fiole) LUNDBECK CANADA INC"" -> ""CLOPIXOL DEPOT (décanoate de zuclopenthixol 200 mg par mL solution injectable 10 mL fiole) LUNDBECK CANADA INC"""
NA,77700639,CLOPIXOL DEPOT (décanoate de zuclopenthixol 200 mg par 1 mL solution injectable ampoule) LUNDBECK CANADA INC,décanoate de zuclopenthixol 200 mg par 1 mL solution injectable ampoule,zuclopenthixol,"mp_fr_description: ""CLOPIXOL DEPOT ̲2̲0̲0̲M̲G̲/̲M̲L̲ (décanoate de zuclopenthixol 200 mg par 1 mL solution injectable ampoule) LUNDBECK CANADA INC"" -> ""CLOPIXOL DEPOT (décanoate de zuclopenthixol 200 mg par 1 mL solution injectable ampoule) LUNDBECK CANADA INC"""
NA,77701182,SUGAMMADEX INJECTION (sugammadex (sugammadex sodique) 200 mg par 2 mL solution injectable fiole) JUNO PHARMACEUTICALS CORP.,sugammadex (sugammadex sodique) 200 mg par 2 mL solution injectable fiole,sugammadex,ADDED
NA,77701183,SUGAMMADEX INJECTION (sugammadex (sugammadex sodique) 500 mg par 5 mL solution injectable fiole) JUNO PHARMACEUTICALS CORP.,sugammadex (sugammadex sodique) 500 mg par 5 mL solution injectable fiole,sugammadex,ADDED
NA,77701184,ETOPOSIDE INJECTION (étoposide 100 mg par 5 mL solution injectable fiole) HIKMA CANADA LIMITED,étoposide 100 mg par 5 mL solution injectable fiole,étoposide,ADDED
NA,77701185,ETOPOSIDE INJECTION (étoposide 200 mg par 10 mL solution injectable fiole) HIKMA CANADA LIMITED,étoposide 200 mg par 10 mL solution injectable fiole,étoposide,ADDED
NA,77701186,ETOPOSIDE INJECTION (étoposide 400 mg par 20 mL solution injectable fiole) HIKMA CANADA LIMITED,étoposide 400 mg par 20 mL solution injectable fiole,étoposide,ADDED
