drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"74946","inactive","inactive","02264048","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"76834","inactive","inactive","02282704","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"76966","inactive","inactive","02284103","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"77078","inactive","inactive","02285274","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"79622","inactive","inactive","02310597","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"79782","inactive","inactive","02312328","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"83918","inactive","inactive","02353962","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"84567","inactive","inactive","02360667","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"86037","inactive","inactive","02374951","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"86038","inactive","inactive","02374978","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"86392","inactive","inactive","02378140","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"87146","inactive","inactive","02385856","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"88708","inactive","inactive","02402238","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"88896","inactive","inactive","02404176","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"97251","inactive","inactive","02482053","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"97253","inactive","inactive","02482088","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"97290","inactive","inactive","02482452","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"97291","inactive","inactive","02482460","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"97292","inactive","inactive","02482479","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"97293","inactive","inactive","02482487","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"97294","inactive","inactive","02482495","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"97320","inactive","inactive","02482797","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"101380","inactive","inactive","02524783","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
"85328","dormant","dormant","02368307","MARINI SKINSOLUTIONS, INC.","JAN MARINI SKIN RESEARCH INC"
"87216","dormant","dormant","02386585","MARINI SKINSOLUTIONS, INC.","JAN MARINI SKIN RESEARCH INC"
"99650","approved","approved","02507099","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL (A DIVISION OF AGRISAN INC)","AGRISAN SPECIALTY CHEMICAL & PHARMACEUTICAL A DIVISION OF AGRISAN INC"
