mp_code,mp_formal_name,changes
"02436256","ACT LATANOPROST/TIMOLOL (latanoprost 50 mcg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) TEVA CANADA LIMITED","mp_formal_name: ""ACT LATANOPROST/TIMOLOL (latanoprost 50 mcg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) ACTAVIS PHARMA COMPANY"" -> ""ACT LATANOPROST/TIMOLOL (latanoprost 50 mcg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) TEVA CANADA LIMITED"""
"02446820","ACT PROGESTERONE INJECTION (progesterone 500 mg per 10 mL solution for injection vial) TEVA CANADA LIMITED","mp_formal_name: ""ACT PROGESTERONE INJECTION (progesterone 500 mg per 10 mL solution for injection vial) ACTAVIS PHARMA COMPANY"" -> ""ACT PROGESTERONE INJECTION (progesterone 500 mg per 10 mL solution for injection vial) TEVA CANADA LIMITED"""
"02454297","ACT ESCITALOPRAM ODT (escitalopram 10 mg orodispersible tablet) TEVA CANADA LIMITED","mp_formal_name: ""ACT ESCITALOPRAM ODT (escitalopram 10 mg orodispersible tablet) ACTAVIS PHARMA COMPANY"" -> ""ACT ESCITALOPRAM ODT (escitalopram 10 mg orodispersible tablet) TEVA CANADA LIMITED"""
"02454300","ACT ESCITALOPRAM ODT (escitalopram 20 mg orodispersible tablet) TEVA CANADA LIMITED","mp_formal_name: ""ACT ESCITALOPRAM ODT (escitalopram 20 mg orodispersible tablet) ACTAVIS PHARMA COMPANY"" -> ""ACT ESCITALOPRAM ODT (escitalopram 20 mg orodispersible tablet) TEVA CANADA LIMITED"""
"02456257","SANDOZ MIGLUSTAT (miglustat 100 mg oral capsule) SANDOZ CANADA INCORPORATED","ADDED"
"02456311","ACH-OLMESARTAN (olmesartan medoxomil 20 mg oral tablet) ACCORD HEALTHCARE INC","ADDED"
"02456338","ACH-OLMESARTAN (olmesartan medoxomil 40 mg oral tablet) ACCORD HEALTHCARE INC","ADDED"
"02467984","NAT-BOSENTAN (bosentan (bosentan monohydrate) 62.5 mg oral tablet) NATCO PHARMA (CANADA) INC","ADDED"
"02467992","NAT-BOSENTAN (bosentan (bosentan monohydrate) 125 mg oral tablet) NATCO PHARMA (CANADA) INC","ADDED"
"02469774","ROCURONIUM BROMIDE INJECTION (rocuronium bromide 50 mg per 5 mL solution for injection vial) JUNO PHARMACEUTICALS CORP.","mp_formal_name: ""ROCURONIUM BROMIDE INJECTION (rocuronium bromide 50 mg per 5 mL solution for injection vial) MDA INC."" -> ""ROCURONIUM BROMIDE INJECTION (rocuronium bromide 50 mg per 5 mL solution for injection vial) JUNO PHARMACEUTICALS CORP."""
"02473720","SYMTUZA (cobicistat 150 mg and darunavir (darunavir ethanolate) 800 mg and emtricitabine 200 mg and tenofovir alafenamide (tenofovir alafenamide hemifumarate) 10 mg oral tablet) JANSSEN INC","ntp_code: ""9014284"" -> ""9012699"""
"02479419","MYL-ESOMEPRAZOLE (esomeprazole (esomeprazole magnesium trihydrate) 20 mg gastro-resistant tablet) MYLAN PHARMACEUTICALS ULC","ADDED"
"02479427","MYL-ESOMEPRAZOLE (esomeprazole (esomeprazole magnesium trihydrate) 40 mg gastro-resistant tablet) MYLAN PHARMACEUTICALS ULC","ADDED"
"02481766","JIVI (damoctocog alfa pegol 500 unit per vial powder for solution for injection with diluent solution syringe) BAYER INC","ADDED"
"02481774","JIVI (damoctocog alfa pegol 1000 unit per vial powder for solution for injection with diluent solution syringe) BAYER INC","ADDED"
"02481782","JIVI (damoctocog alfa pegol 2000 unit per vial powder for solution for injection with diluent solution syringe) BAYER INC","ADDED"
"02481790","JIVI (damoctocog alfa pegol 3000 unit per vial powder for solution for injection with diluent solution syringe) BAYER INC","ADDED"
"02483130","TARO-BOSENTAN (bosentan (bosentan monohydrate) 62.5 mg oral tablet) TARO PHARMACEUTICALS INC","ADDED"
"02483556","MINT-ARIPIPRAZOLE (aripiprazole 2 mg oral tablet) MINT PHARMACEUTICALS INC","ADDED"
"02483564","MINT-ARIPIPRAZOLE (aripiprazole 5 mg oral tablet) MINT PHARMACEUTICALS INC","ADDED"
"02483572","MINT-ARIPIPRAZOLE (aripiprazole 10 mg oral tablet) MINT PHARMACEUTICALS INC","ADDED"
"02483580","MINT-ARIPIPRAZOLE (aripiprazole 15 mg oral tablet) MINT PHARMACEUTICALS INC","ADDED"
"02483599","MINT-ARIPIPRAZOLE (aripiprazole 20 mg oral tablet) MINT PHARMACEUTICALS INC","ADDED"
"02483602","MINT-ARIPIPRAZOLE (aripiprazole 30 mg oral tablet) MINT PHARMACEUTICALS INC","ADDED"
"02485451","CLINDAMYCIN INJECTION IN 5% DEXTROSE (clindamycin 300 mg per 50 mL solution for injection) BAXTER CORPORATION","DELETED"
"02485478","CLINDAMYCIN INJECTION IN 5% DEXTROSE (clindamycin 600 mg per 50 mL solution for injection) BAXTER CORPORATION","DELETED"
"02485486","CLINDAMYCIN INJECTION IN 5% DEXTROSE (clindamycin 900 mg per 50 mL solution for injection) BAXTER CORPORATION","DELETED"
"02486121","AURO-DARUNAVIR (darunavir (darunavir propylene glycolate) 600 mg oral tablet) AURO PHARMA INC","ntp_code: ""9014292"" -> ""9004524"""
"02486148","AURO-DARUNAVIR (darunavir (darunavir propylene glycolate) 800 mg oral tablet) AURO PHARMA INC","ntp_code: ""9014294"" -> ""9005128"""
"02487241","APO-DARUNAVIR (darunavir 600 mg oral tablet) APOTEX INC","ntp_code: ""9014292"" -> ""9004524"""
"02487268","APO-DARUNAVIR (darunavir 800 mg oral tablet) APOTEX INC","ntp_code: ""9014294"" -> ""9005128"""
"02489171","ESCITALOPRAM (escitalopram (escitalopram oxalate) 10 mg oral tablet) NORA PHARMA INC","ADDED"
"02489201","ESCITALOPRAM (escitalopram (escitalopram oxalate) 20 mg oral tablet) NORA PHARMA INC","ADDED"
"02489635","DORZOLAMIDE AND TIMOLOL EYE DROPS BP (dorzolamide (dorzolamide hydrochloride) 20 mg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) TELIGENT CANADA INC","ADDED"
"02489937","JAMP-DOXAZOSIN (doxazosin (doxazosin mesylate) 1 mg oral tablet) JAMP PHARMA CORPORATION","ADDED"
"02489945","JAMP-DOXAZOSIN (doxazosin (doxazosin mesylate) 2 mg oral tablet) JAMP PHARMA CORPORATION","ADDED"
"02490412","PRIVA-DULOXETINE (duloxetine (duloxetine hydrochloride) 30 mg gastro-resistant capsule) PHARMAPAR INC","ADDED"
"02490420","PRIVA-DULOXETINE (duloxetine (duloxetine hydrochloride) 60 mg gastro-resistant capsule) PHARMAPAR INC","ADDED"
"02490447","PDP-LEVETIRACETAM (levetiracetam 100 mg per mL oral solution) PENDOPHARM DIVISION OF PHARMASCIENCE INC","ADDED"
"02490773","ERTAPENEM FOR INJECTION (ertapenem (ertapenem sodium) 1 g per vial powder for solution for injection) JUNO PHARMACEUTICALS CORP.","mp_formal_name: ""ERTAPENEM FOR INJECTION (ertapenem (ertapenem sodium) 1 g per vial powder for solution for injection) MDA INC."" -> ""ERTAPENEM FOR INJECTION (ertapenem (ertapenem sodium) 1 g per vial powder for solution for injection) JUNO PHARMACEUTICALS CORP."""
"02493306","BORTEZOMIB FOR INJECTION (bortezomib (bortezomib mannitol boronic ester) 3.5 mg per vial powder for solution for injection) MARCAN PHARMACEUTICALS INC","ADDED"
"02494175","AKLIEF (trifarotene 50 mcg per g cutaneous cream) GALDERMA CANADA INC","ADDED"
"02494388","MYLOTARG (gemtuzumab ozogamicin 4.5 mg per vial powder for solution for injection) PFIZER CANADA ULC","ADDED"
"02494841","NAT-PREGABALIN (pregabalin 25 mg oral capsule) NATCO PHARMA (CANADA) INC","ADDED"
"02494868","NAT-PREGABALIN (pregabalin 50 mg oral capsule) NATCO PHARMA (CANADA) INC","ADDED"
"02494876","NAT-PREGABALIN (pregabalin 75 mg oral capsule) NATCO PHARMA (CANADA) INC","ADDED"
"02494884","NAT-PREGABALIN (pregabalin 150 mg oral capsule) NATCO PHARMA (CANADA) INC","ADDED"
"02494892","NAT-PREGABALIN (pregabalin 225 mg oral capsule) NATCO PHARMA (CANADA) INC","ADDED"
"02494906","NAT-PREGABALIN (pregabalin 300 mg oral capsule) NATCO PHARMA (CANADA) INC","ADDED"
"02495007","ROZLYTREK (entrectinib 100 mg oral capsule) HOFFMANN-LA ROCHE LIMITED","ADDED"
"02495015","ROZLYTREK (entrectinib 200 mg oral capsule) HOFFMANN-LA ROCHE LIMITED","ADDED"
"02495082","DULOXETINE (duloxetine (duloxetine hydrochloride) 30 mg gastro-resistant capsule) LABORATOIRE RIVA INC","ADDED"
